feature,rf_shap_importance,xgb_shap_importance
creatinine_slope_24h,0.0849663050951859,0.79658526
glucose_reading_count,0.04149309620482124,0.29803538
baseline_creatinine,0.0374924028605934,0.3474413
creatinine_reading_count,0.015603254177703085,0.02708774
creatinine_slope_24h_was_missing,0.014423997691076005,0.011729826
glucose_std_was_missing,0.013653550210701798,0.0
glucose_cv_was_missing,0.01021068655631552,0.0005833752
temp_min,0.008733051772999502,0.030858366
temp_slope,0.007851727919855368,0.06059024
glucose_cv,0.006922440126561553,0.014944733
temp_count,0.006885343941734813,0.0350789
sbp_min,0.0067968618753209645,0.041156016
dbp_mean,0.006666825967558906,0.016371656
temp_mean,0.006161221204993903,0.06680615
map_slope,0.005906108632199336,0.04199186
glucose_std,0.005486986250070542,0.012224267
dbp_slope,0.004657485877377868,0.018226946
spo2_std,0.004603066735240604,0.055732984
sbp_slope,0.0044758650434199515,0.07432362
map_mean,0.004176100205829451,0.012749551
age_at_admission,0.0039217032929122755,0.035500918
spo2_slope,0.0037820024285402094,0.026725646
map_count,0.003714925734728411,0.008680891
sbp_count,0.003697250065111162,0.009547007
dbp_min,0.003617205803124241,0.011435599
sbp_mean,0.0033163557513753005,0.008931057
map_min,0.0031788286319468857,0.019722298
dbp_max,0.0029971947335314868,0.01664266
rr_mean,0.002949536263458291,0.047069307
anchor_age,0.0029212848456665625,0.01151124
temp_std,0.002798357453051699,0.012630696
dbp_count,0.002534657225704424,0.00663323
sbp_std,0.0024236640852149196,0.012237344
dbp_std,0.0021868238566355187,0.012435921
hr_max,0.0021250927190592764,0.010615773
hr_count,0.00209713180403506,0.01069296
temp_max,0.0020659355165913674,0.014231756
hr_mean,0.0019709114012157625,0.017722951
glucose_mean,0.0019344048577293873,0.023916041
temp_std_was_missing,0.0017392694696898726,0.025050394
hr_std,0.001722147781816837,0.0123899225
spo2_min,0.0016739340509359492,0.009961865
map_std,0.0016732115990015011,0.018245
rr_slope,0.0016099968557348905,0.016258111
spo2_mean,0.0015935425434495905,0.01559036
glucose_time_in_range,0.0015889948970107023,0.013591684
rr_std,0.0015141518011877898,0.013349352
hr_min,0.0014803314883005446,0.010689817
sbp_max,0.0012970721698465552,0.00821932
map_max,0.0012797873946564212,0.0065921503
spo2_max,0.001230966061090757,0.0049750227
rr_max,0.0012022164973219637,0.0063106683
admit_year,0.0011829049622112747,0.014002823
anchor_year,0.001170527880602414,0.014504076
temp_mean_was_missing,0.001145322665782017,0.0
spo2_count,0.001145297156882222,0.009957762
hr_slope,0.0011261547316156174,0.01055451
rr_min,0.0011140522926446738,0.008191027
rr_count,0.0010534031707588186,0.004129738
temp_max_was_missing,0.0009956702362388145,0.0
temp_slope_was_missing,0.0009448085228697002,0.0022791715
temp_min_was_missing,0.0008768213133436907,0.0014361237
temp_count_was_missing,0.0008387861005616258,0.0
map_std_was_missing,1.427607590271175e-05,0.0
map_count_was_missing,1.3473394525762011e-05,0.0
sbp_std_was_missing,8.780100975868457e-06,0.0
dbp_std_was_missing,8.656579796701811e-06,0.0
dbp_mean_was_missing,7.458324612237923e-06,0.0
dbp_slope_was_missing,6.9137570704264626e-06,0.0
sbp_mean_was_missing,6.324057082225186e-06,0.0
sbp_count_was_missing,5.182003236759318e-06,0.0
sbp_max_was_missing,3.532663950654119e-06,0.0
dbp_count_was_missing,3.395736977827557e-06,0.0
map_slope_was_missing,3.0339067444177653e-06,0.0
rr_min_was_missing,2.82235689836572e-06,0.0
rr_std_was_missing,2.4755550525016257e-06,0.0
map_mean_was_missing,2.40863233060363e-06,0.0
hr_min_was_missing,2.2748273020687206e-06,0.0
map_min_was_missing,2.2161377349886587e-06,0.0
dbp_max_was_missing,2.0179541274952493e-06,0.0
sbp_min_was_missing,1.832468892189268e-06,0.0
dbp_min_was_missing,1.8289062718126315e-06,0.0
spo2_count_was_missing,1.457147720316734e-06,0.0
spo2_std_was_missing,1.2494534971030446e-06,0.0
spo2_min_was_missing,1.0763535309121505e-06,0.0
spo2_max_was_missing,8.973692032575591e-07,0.0
rr_max_was_missing,5.931262851618076e-07,0.0
map_max_was_missing,5.616626191481808e-07,0.0
rr_slope_was_missing,2.9404106374605905e-07,0.0
baseline_creatinine_was_missing,0.0,0.0
creatinine_reading_count_was_missing,0.0,0.0
hr_std_was_missing,0.0,0.0
rr_mean_was_missing,0.0,0.0
rr_count_was_missing,0.0,0.0
spo2_slope_was_missing,0.0,0.0
spo2_mean_was_missing,0.0,0.0
hr_slope_was_missing,0.0,0.0
hr_max_was_missing,0.0,0.0
hr_mean_was_missing,0.0,0.0
hr_count_was_missing,0.0,0.0
sbp_slope_was_missing,0.0,0.0
glucose_time_in_range_was_missing,0.0,0.0
glucose_reading_count_was_missing,0.0,0.0
glucose_mean_was_missing,0.0,0.0
