feature,rf_shap_importance,xgb_shap_importance,rf_rank,xgb_rank
creatinine_slope_24h,0.0849663050951859,0.79658526,1,1
glucose_reading_count,0.04149309620482124,0.29803538,2,3
baseline_creatinine,0.0374924028605934,0.3474413,3,2
creatinine_reading_count,0.015603254177703085,0.02708774,4,14
creatinine_slope_24h_was_missing,0.014423997691076005,0.011729826,5,38
glucose_std_was_missing,0.013653550210701798,0.0,6,60
glucose_cv_was_missing,0.01021068655631552,0.0005833752,7,59
temp_min,0.008733051772999502,0.030858366,8,13
temp_slope,0.007851727919855368,0.06059024,9,6
glucose_cv,0.006922440126561553,0.014944733,10,26
temp_count,0.006885343941734813,0.0350789,11,12
sbp_min,0.0067968618753209645,0.041156016,12,10
dbp_mean,0.006666825967558906,0.016371656,13,23
temp_mean,0.006161221204993903,0.06680615,14,5
map_slope,0.005906108632199336,0.04199186,15,9
glucose_std,0.005486986250070542,0.012224267,16,37
dbp_slope,0.004657485877377868,0.018226946,17,20
spo2_std,0.004603066735240604,0.055732984,18,7
sbp_slope,0.0044758650434199515,0.07432362,19,4
map_mean,0.004176100205829451,0.012749551,20,32
age_at_admission,0.0039217032929122755,0.035500918,21,11
spo2_slope,0.0037820024285402094,0.026725646,22,15
map_count,0.003714925734728411,0.008680891,23,49
sbp_count,0.003697250065111162,0.009547007,24,47
dbp_min,0.003617205803124241,0.011435599,25,40
sbp_mean,0.0033163557513753005,0.008931057,26,48
map_min,0.0031788286319468857,0.019722298,27,18
dbp_max,0.0029971947335314868,0.01664266,28,22
rr_mean,0.002949536263458291,0.047069307,29,8
anchor_age,0.0029212848456665625,0.01151124,30,39
temp_std,0.002798357453051699,0.012630696,31,33
dbp_count,0.002534657225704424,0.00663323,32,52
sbp_std,0.0024236640852149196,0.012237344,33,36
dbp_std,0.0021868238566355187,0.012435921,34,34
hr_max,0.0021250927190592764,0.010615773,35,43
hr_count,0.00209713180403506,0.01069296,36,41
temp_max,0.0020659355165913674,0.014231756,37,28
hr_mean,0.0019709114012157625,0.017722951,38,21
glucose_mean,0.0019344048577293873,0.023916041,39,17
temp_std_was_missing,0.0017392694696898726,0.025050394,40,16
hr_std,0.001722147781816837,0.0123899225,41,35
spo2_min,0.0016739340509359492,0.009961865,42,45
map_std,0.0016732115990015011,0.018245,43,19
rr_slope,0.0016099968557348905,0.016258111,44,24
spo2_mean,0.0015935425434495905,0.01559036,45,25
glucose_time_in_range,0.0015889948970107023,0.013591684,46,30
rr_std,0.0015141518011877898,0.013349352,47,31
hr_min,0.0014803314883005446,0.010689817,48,42
sbp_max,0.0012970721698465552,0.00821932,49,50
map_max,0.0012797873946564212,0.0065921503,50,53
spo2_max,0.001230966061090757,0.0049750227,51,55
rr_max,0.0012022164973219637,0.0063106683,52,54
admit_year,0.0011829049622112747,0.014002823,53,29
anchor_year,0.001170527880602414,0.014504076,54,27
temp_mean_was_missing,0.001145322665782017,0.0,55,60
spo2_count,0.001145297156882222,0.009957762,56,46
hr_slope,0.0011261547316156174,0.01055451,57,44
rr_min,0.0011140522926446738,0.008191027,58,51
rr_count,0.0010534031707588186,0.004129738,59,56
temp_max_was_missing,0.0009956702362388145,0.0,60,60
temp_slope_was_missing,0.0009448085228697002,0.0022791715,61,57
temp_min_was_missing,0.0008768213133436907,0.0014361237,62,58
temp_count_was_missing,0.0008387861005616258,0.0,63,60
map_std_was_missing,1.427607590271175e-05,0.0,64,60
map_count_was_missing,1.3473394525762011e-05,0.0,65,60
sbp_std_was_missing,8.780100975868457e-06,0.0,66,60
dbp_std_was_missing,8.656579796701811e-06,0.0,67,60
dbp_mean_was_missing,7.458324612237923e-06,0.0,68,60
dbp_slope_was_missing,6.9137570704264626e-06,0.0,69,60
sbp_mean_was_missing,6.324057082225186e-06,0.0,70,60
sbp_count_was_missing,5.182003236759318e-06,0.0,71,60
sbp_max_was_missing,3.532663950654119e-06,0.0,72,60
dbp_count_was_missing,3.395736977827557e-06,0.0,73,60
map_slope_was_missing,3.0339067444177653e-06,0.0,74,60
rr_min_was_missing,2.82235689836572e-06,0.0,75,60
rr_std_was_missing,2.4755550525016257e-06,0.0,76,60
map_mean_was_missing,2.40863233060363e-06,0.0,77,60
hr_min_was_missing,2.2748273020687206e-06,0.0,78,60
map_min_was_missing,2.2161377349886587e-06,0.0,79,60
dbp_max_was_missing,2.0179541274952493e-06,0.0,80,60
sbp_min_was_missing,1.832468892189268e-06,0.0,81,60
dbp_min_was_missing,1.8289062718126315e-06,0.0,82,60
spo2_count_was_missing,1.457147720316734e-06,0.0,83,60
spo2_std_was_missing,1.2494534971030446e-06,0.0,84,60
spo2_min_was_missing,1.0763535309121505e-06,0.0,85,60
spo2_max_was_missing,8.973692032575591e-07,0.0,86,60
rr_max_was_missing,5.931262851618076e-07,0.0,87,60
map_max_was_missing,5.616626191481808e-07,0.0,88,60
rr_slope_was_missing,2.9404106374605905e-07,0.0,89,60
glucose_time_in_range_was_missing,0.0,0.0,90,60
sbp_slope_was_missing,0.0,0.0,90,60
hr_count_was_missing,0.0,0.0,90,60
hr_mean_was_missing,0.0,0.0,90,60
hr_max_was_missing,0.0,0.0,90,60
hr_slope_was_missing,0.0,0.0,90,60
creatinine_reading_count_was_missing,0.0,0.0,90,60
spo2_slope_was_missing,0.0,0.0,90,60
rr_count_was_missing,0.0,0.0,90,60
rr_mean_was_missing,0.0,0.0,90,60
hr_std_was_missing,0.0,0.0,90,60
glucose_reading_count_was_missing,0.0,0.0,90,60
baseline_creatinine_was_missing,0.0,0.0,90,60
spo2_mean_was_missing,0.0,0.0,90,60
glucose_mean_was_missing,0.0,0.0,90,60
