feature,coefficient
creatinine_slope_24h,0.8886988313404428
baseline_creatinine,0.781896226119689
dbp_count,0.6562422327605724
map_count,-0.4806397665429291
map_mean,0.3838574512570245
glucose_reading_count,0.3740802100517586
dbp_mean,-0.3278466686962723
temp_slope,0.2901406543722896
temp_mean,-0.2874323911794547
spo2_std_was_missing,-0.2819927967925814
sbp_count,-0.22802043605048725
creatinine_slope_24h_was_missing,-0.20030926370688962
hr_mean,0.19816121251421895
dbp_std,-0.193446936283679
spo2_std,0.19277789844407203
hr_count,0.18947315325675587
dbp_slope,0.16990824510956384
baseline_creatinine_was_missing,-0.16464243470426163
map_slope,-0.16237289978187977
dbp_max,0.15519448832852067
sbp_slope,-0.14752372143564854
map_std,0.14662452134369588
sbp_mean,-0.1376034303404939
rr_mean,0.13481399349448137
temp_count,0.13473232639529428
rr_count,-0.13178467763250346
rr_slope,-0.13074568010825482
temp_min,0.12497414056680876
hr_min,-0.1172361880236095
sbp_min,-0.1165478123826759
map_max,-0.11531435638386776
creatinine_reading_count_was_missing,-0.11054307468812843
temp_std_was_missing,0.10913487801752716
map_min,0.10444966321335872
dbp_min,-0.09868955339165217
spo2_slope,-0.09828305020594906
sbp_max,0.08810538502677327
creatinine_reading_count,0.08757428462075237
sbp_max_was_missing,-0.0671488184591392
sbp_min_was_missing,-0.0671488184591392
sbp_count_was_missing,-0.0671488184591392
sbp_mean_was_missing,-0.0671488184591392
sbp_slope_was_missing,-0.0671488184591392
spo2_min,0.065608895215373
glucose_cv,0.06493088459426914
dbp_count_was_missing,0.06441389311517198
dbp_min_was_missing,0.06441389311517198
dbp_max_was_missing,0.06441389311517198
dbp_slope_was_missing,0.06441389311517198
dbp_mean_was_missing,0.06441389311516602
temp_std,0.060573676165394046
spo2_mean,0.05698702168611771
hr_max,-0.05458656569624458
spo2_max,-0.05422492122601563
map_std_was_missing,0.05102374192874329
anchor_age,0.050841265534394164
rr_max,-0.050136379767311966
hr_std,-0.04925428086286339
hr_std_was_missing,-0.03231586153335196
glucose_time_in_range,0.029514184205198978
temp_max,0.028101646408089542
age_at_admission,-0.02701377899204081
rr_std,0.026049844567406097
rr_std_was_missing,-0.025266924411993984
hr_max_was_missing,0.024711143389996044
hr_slope_was_missing,0.024711143389996044
hr_mean_was_missing,0.024711143389996044
hr_min_was_missing,0.024711143389996044
hr_count_was_missing,0.024711143389996044
admit_year,-0.021770242872306535
anchor_year,0.019477214607679975
spo2_count_was_missing,0.017381024420341562
spo2_max_was_missing,0.017381024420341562
spo2_slope_was_missing,0.017381024420341562
spo2_mean_was_missing,0.017381024420341562
spo2_min_was_missing,0.017381024420341562
rr_min,0.016173951847706522
dbp_std_was_missing,-0.016031065537705436
sbp_std_was_missing,-0.016031065537705436
glucose_mean,-0.01161799913321966
sbp_std,-0.009835647256222177
temp_min_was_missing,0.007925345587831291
temp_slope_was_missing,0.007925345587831291
temp_mean_was_missing,0.007925345587831291
temp_max_was_missing,0.007925345587831291
temp_count_was_missing,0.007925345587831291
map_slope_was_missing,0.0074005468865603425
map_max_was_missing,0.0074005468865603425
map_mean_was_missing,0.0074005468865603425
map_min_was_missing,0.0074005468865603425
map_count_was_missing,0.0074005468865603425
rr_mean_was_missing,0.006991839225738187
rr_min_was_missing,0.006991839225735478
rr_max_was_missing,0.006991839225735478
rr_count_was_missing,0.006991839225735478
rr_slope_was_missing,0.006991839225735478
glucose_mean_was_missing,0.004323191372178418
glucose_time_in_range_was_missing,0.00432319137217112
glucose_reading_count_was_missing,0.00432319137217112
spo2_count,0.002362967279130269
glucose_std_was_missing,-0.001410243587056041
glucose_cv_was_missing,-0.001410243587056041
glucose_std,-0.0012983629338733417
hr_slope,-0.0004640300575751225
