number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,state
0,0.6899399178317891,2026-07-30 12:04:38.036906,2026-07-30 12:04:40.645290,0 days 00:00:02.608384,0.9316264140146573,3.7087331452428867,0.032412278821499656,7,7,438,0.6549214525986352,COMPLETE
1,0.6892720700421409,2026-07-30 12:04:40.647103,2026-07-30 12:04:42.301050,0 days 00:00:01.653947,0.6489179074677456,1.0253675462243867,0.10644821362387617,8,7,386,0.9651429597902597,COMPLETE
2,0.6958696762050957,2026-07-30 12:04:42.302577,2026-07-30 12:04:45.301421,0 days 00:00:02.998844,0.8600998870439864,3.717404402874725,0.02240079464995255,10,5,334,0.6163355244175474,COMPLETE
3,0.6924636613777777,2026-07-30 12:04:45.302920,2026-07-30 12:04:46.298312,0 days 00:00:00.995392,0.7225698044742217,4.494773747306069,0.014734075967985408,3,7,486,0.8166178044248501,COMPLETE
4,0.6865346502894287,2026-07-30 12:04:46.299973,2026-07-30 12:04:46.763806,0 days 00:00:00.463833,0.6725977022062827,1.812457637204263,0.10558688967792278,5,3,126,0.8106291483667827,COMPLETE
5,0.6835629308904563,2026-07-30 12:04:46.765332,2026-07-30 12:04:47.780530,0 days 00:00:01.015198,0.6113138667541521,4.668890127684003,0.10520371587923147,9,6,492,0.9600242760653258,COMPLETE
6,0.6956022121182388,2026-07-30 12:04:47.782195,2026-07-30 12:04:48.186029,0 days 00:00:00.403834,0.6357802165561253,3.37075681751244,0.04052646036444752,4,7,136,0.9177138953241772,COMPLETE
7,0.6948910513779805,2026-07-30 12:04:48.187586,2026-07-30 12:04:48.710483,0 days 00:00:00.522897,0.8090955464654006,1.3879025245280947,0.032022144479538835,4,9,186,0.8936360077697483,COMPLETE
8,0.689765192010517,2026-07-30 12:04:48.711954,2026-07-30 12:04:49.164988,0 days 00:00:00.453034,0.7547368145167647,1.7612806303572126,0.02381909995315326,3,5,192,0.7746816846191502,COMPLETE
9,0.6529731480202321,2026-07-30 12:04:49.166495,2026-07-30 12:04:50.743186,0 days 00:00:01.576691,0.7097665132255728,0.5946170106718163,0.1770963944228214,8,3,255,0.6325712831156118,COMPLETE
10,0.6937424291315183,2026-07-30 12:04:50.744744,2026-07-30 12:04:55.703766,0 days 00:00:04.959022,0.9955321751351038,2.8382656676387072,0.012522903004322298,10,1,334,0.7110321771922744,COMPLETE
11,0.6901710386142418,2026-07-30 12:04:55.705317,2026-07-30 12:04:56.988496,0 days 00:00:01.283179,0.8567680569290669,3.1640421083360564,0.057612377346331664,6,10,305,0.8905211064426426,COMPLETE
12,0.6794210098803481,2026-07-30 12:04:56.990166,2026-07-30 12:04:58.441034,0 days 00:00:01.450868,0.8585464578103655,3.7521893335580168,0.05479090886178242,10,4,130,0.6033645718058781,COMPLETE
13,0.6942408308212604,2026-07-30 12:04:58.442607,2026-07-30 12:04:59.439560,0 days 00:00:00.996953,0.7905199336123445,2.569429955508969,0.02347477476808256,6,8,223,0.7099055167353212,COMPLETE
14,0.6890710216227522,2026-07-30 12:04:59.441269,2026-07-30 12:05:00.757173,0 days 00:00:01.315904,0.9225274931365783,3.8629202451638998,0.048723151767898085,6,5,295,0.8890331755673774,COMPLETE
15,0.6940967782463416,2026-07-30 12:05:00.758711,2026-07-30 12:05:01.911322,0 days 00:00:01.152611,0.9689788762405344,2.5895517465489406,0.010225825977342694,4,5,372,0.995845483276628,COMPLETE
16,0.6912756798383637,2026-07-30 12:05:01.912829,2026-07-30 12:05:03.044590,0 days 00:00:01.131761,0.8618036651171981,0.04237262139707898,0.01882979660679486,8,2,104,0.7345685025522766,COMPLETE
17,0.6926845026217558,2026-07-30 12:05:03.046079,2026-07-30 12:05:04.232727,0 days 00:00:01.186648,0.6087293656477727,4.95566303633267,0.03660845381179085,9,9,174,0.8421837877493763,COMPLETE
18,0.6851687732649725,2026-07-30 12:05:04.234236,2026-07-30 12:05:05.167278,0 days 00:00:00.933042,0.8064445814912881,3.260838552327644,0.06888955385998713,5,6,254,0.6673569773271754,COMPLETE
19,0.6547327710100055,2026-07-30 12:05:05.168758,2026-07-30 12:05:06.093059,0 days 00:00:00.924301,0.9048202690370277,4.154309571418779,0.23343391514548442,7,4,411,0.7690539320771473,COMPLETE
20,0.6965700094924491,2026-07-30 12:05:06.094727,2026-07-30 12:05:06.992104,0 days 00:00:00.897377,0.6710213324465414,3.3113643880670924,0.0192016198400464,4,8,339,0.9507582487463453,COMPLETE
21,0.6956728378829036,2026-07-30 12:05:06.993694,2026-07-30 12:05:07.942143,0 days 00:00:00.948449,0.6854935109549314,3.3076910128250994,0.018800363809173038,4,8,343,0.9172168313946389,COMPLETE
22,0.6955028865400873,2026-07-30 12:05:07.943730,2026-07-30 12:05:09.071968,0 days 00:00:01.128238,0.6870844334944297,2.1897491509341416,0.017958146243963063,5,10,350,0.9408436538710243,COMPLETE
23,0.6926454410631561,2026-07-30 12:05:09.073592,2026-07-30 12:05:09.807557,0 days 00:00:00.733965,0.7509059131316418,4.291979881410972,0.02436195653735055,3,8,307,0.8517267257893959,COMPLETE
24,0.6949044690114117,2026-07-30 12:05:09.809158,2026-07-30 12:05:10.891560,0 days 00:00:01.082402,0.6682268545535444,3.005096693036781,0.01757504858677239,4,9,425,0.9255623441551141,COMPLETE
25,0.6945497106720951,2026-07-30 12:05:10.893141,2026-07-30 12:05:12.688299,0 days 00:00:01.795158,0.7628798110929744,3.5226564549305546,0.011435223388786461,7,8,330,0.9950284644055193,COMPLETE
26,0.6950251225712772,2026-07-30 12:05:12.689905,2026-07-30 12:05:13.657832,0 days 00:00:00.967927,0.7197950006901762,3.935256992836422,0.02585270621300325,5,6,264,0.8621041272876461,COMPLETE
27,0.6951796876229467,2026-07-30 12:05:13.659460,2026-07-30 12:05:16.365215,0 days 00:00:02.705755,0.643325508076153,2.7121935201117355,0.014783911587791526,9,8,367,0.7688092718517333,COMPLETE
