feature,importance
creatinine_slope_24h,0.21666166472735482
baseline_creatinine,0.08549969220857458
glucose_reading_count,0.07014116754559865
creatinine_reading_count,0.03142494675423404
creatinine_slope_24h_was_missing,0.02344957871646919
glucose_std_was_missing,0.02288634608632446
temp_slope,0.019070630513186335
glucose_cv_was_missing,0.01673609514041269
dbp_mean,0.0165025269954883
glucose_cv,0.015768374859635406
temp_min,0.01573871289525223
temp_count,0.015331947348613383
glucose_std,0.01432292608120087
sbp_min,0.014262109303177596
temp_mean,0.014123502625867307
map_mean,0.013421325805337569
map_slope,0.013258413993692052
sbp_mean,0.01309342231193687
sbp_slope,0.012938436033834268
spo2_std,0.012785513164233337
spo2_slope,0.012644182434685281
dbp_slope,0.012328475101609193
temp_std,0.011618139400167007
age_at_admission,0.011127571710708663
glucose_mean,0.010755039142736091
rr_mean,0.010706270741831217
hr_mean,0.010688551138536543
sbp_std,0.010571412935521184
rr_slope,0.010513809494579439
anchor_age,0.010091638359236831
spo2_mean,0.01004282372153806
map_std,0.010040836213869522
dbp_max,0.010016911486600694
dbp_std,0.009964288266328251
hr_std,0.009775371619628265
map_min,0.009652497539664483
rr_std,0.009632891317321327
dbp_min,0.009521557287009446
sbp_count,0.009282203497813718
map_count,0.009150780700902436
hr_min,0.00908752039622643
hr_slope,0.009080097266198938
hr_max,0.009015897339579393
temp_max,0.008698764888813647
sbp_max,0.008618769392944724
admit_year,0.008469943545502663
anchor_year,0.007982918473652845
map_max,0.007518817469700221
dbp_count,0.00714526759689656
hr_count,0.0069538137483436645
spo2_count,0.006570707550752167
rr_max,0.006284073630284827
spo2_min,0.006258079327857795
rr_min,0.005995051584763727
rr_count,0.005840634167910437
glucose_time_in_range,0.004954739454370231
temp_std_was_missing,0.0033433890892996597
spo2_max,0.0024383205945897293
temp_mean_was_missing,0.002396152159209119
temp_max_was_missing,0.0019769738872318096
temp_slope_was_missing,0.0019063136070360065
temp_min_was_missing,0.0018503867316093942
temp_count_was_missing,0.001755894417624967
map_count_was_missing,4.587352554551984e-05
map_std_was_missing,4.3340067861577206e-05
sbp_std_was_missing,2.9234717154336155e-05
dbp_std_was_missing,2.7178041587023667e-05
dbp_mean_was_missing,2.6829447152129092e-05
sbp_count_was_missing,1.562896254351883e-05
dbp_slope_was_missing,1.5109429987585577e-05
sbp_mean_was_missing,1.4160633317319108e-05
map_slope_was_missing,1.1225942356733643e-05
sbp_max_was_missing,9.982044746847958e-06
rr_std_was_missing,9.64154368623339e-06
dbp_count_was_missing,8.323773673706692e-06
spo2_count_was_missing,7.744885055322168e-06
map_mean_was_missing,7.009491073270324e-06
sbp_min_was_missing,6.717488929442581e-06
rr_min_was_missing,6.0838287313611454e-06
map_min_was_missing,5.650035857509193e-06
hr_min_was_missing,5.434445775241456e-06
dbp_max_was_missing,4.774801124231797e-06
spo2_std_was_missing,4.043021056294948e-06
dbp_min_was_missing,3.5454107951704966e-06
spo2_min_was_missing,2.1501757586366957e-06
spo2_max_was_missing,1.9147510803491435e-06
map_max_was_missing,1.5085120251235503e-06
rr_max_was_missing,9.437049073897914e-07
rr_slope_was_missing,8.397771076256601e-07
hr_count_was_missing,0.0
hr_mean_was_missing,0.0
glucose_time_in_range_was_missing,0.0
glucose_reading_count_was_missing,0.0
hr_max_was_missing,0.0
hr_slope_was_missing,0.0
rr_mean_was_missing,0.0
spo2_mean_was_missing,0.0
spo2_slope_was_missing,0.0
hr_std_was_missing,0.0
creatinine_reading_count_was_missing,0.0
baseline_creatinine_was_missing,0.0
rr_count_was_missing,0.0
sbp_slope_was_missing,0.0
glucose_mean_was_missing,0.0
