feature,importance
creatinine_slope_24h,0.11530793
temp_min_was_missing,0.088149704
creatinine_slope_24h_was_missing,0.08685113
glucose_reading_count,0.07343772
creatinine_reading_count,0.0468235
baseline_creatinine,0.03741006
temp_std_was_missing,0.021998316
temp_count,0.019435031
temp_slope_was_missing,0.018406069
temp_slope,0.014020848
sbp_min,0.013751297
temp_mean,0.012951807
age_at_admission,0.012840732
sbp_slope,0.012722917
spo2_min,0.012429615
sbp_count,0.012258094
map_slope,0.01205612
dbp_max,0.011886573
temp_min,0.011833106
spo2_std,0.011822994
rr_mean,0.011747094
spo2_max,0.011019258
hr_min,0.010692975
dbp_slope,0.010578242
sbp_mean,0.010565412
map_mean,0.01022604
spo2_slope,0.010115115
rr_count,0.009868533
dbp_mean,0.009816884
dbp_std,0.0097998725
glucose_time_in_range,0.009771403
dbp_min,0.009753696
hr_max,0.009626494
hr_mean,0.009411625
map_min,0.009380977
glucose_std,0.0093749
map_std,0.0093044
map_max,0.009293832
admit_year,0.009152667
spo2_count,0.00905753
sbp_std,0.009051322
spo2_mean,0.009028378
map_count,0.008887976
glucose_cv_was_missing,0.008722561
glucose_mean,0.0085773915
rr_slope,0.008567579
hr_std,0.008415222
anchor_age,0.008298787
rr_std,0.008184398
sbp_max,0.008122527
hr_count,0.008121786
dbp_count,0.008067502
rr_min,0.007924682
glucose_cv,0.007883347
hr_slope,0.007881732
temp_std,0.007796766
anchor_year,0.007741913
temp_max,0.0070312475
rr_max,0.0067443005
spo2_max_was_missing,0.0
rr_count_was_missing,0.0
rr_max_was_missing,0.0
rr_min_was_missing,0.0
rr_mean_was_missing,0.0
spo2_std_was_missing,0.0
baseline_creatinine_was_missing,0.0
creatinine_reading_count_was_missing,0.0
hr_std_was_missing,0.0
spo2_count_was_missing,0.0
glucose_std_was_missing,0.0
rr_slope_was_missing,0.0
spo2_mean_was_missing,0.0
spo2_min_was_missing,0.0
hr_slope_was_missing,0.0
hr_max_was_missing,0.0
hr_mean_was_missing,0.0
hr_count_was_missing,0.0
hr_min_was_missing,0.0
glucose_time_in_range_was_missing,0.0
glucose_reading_count_was_missing,0.0
spo2_slope_was_missing,0.0
map_mean_was_missing,0.0
rr_std_was_missing,0.0
map_max_was_missing,0.0
temp_mean_was_missing,0.0
temp_max_was_missing,0.0
temp_count_was_missing,0.0
sbp_std_was_missing,0.0
dbp_std_was_missing,0.0
map_std_was_missing,0.0
dbp_slope_was_missing,0.0
dbp_max_was_missing,0.0
dbp_min_was_missing,0.0
dbp_mean_was_missing,0.0
dbp_count_was_missing,0.0
sbp_mean_was_missing,0.0
sbp_slope_was_missing,0.0
sbp_max_was_missing,0.0
sbp_min_was_missing,0.0
sbp_count_was_missing,0.0
map_slope_was_missing,0.0
map_min_was_missing,0.0
map_count_was_missing,0.0
glucose_mean_was_missing,0.0
